Date,Description,Card Member,Account #,Amount,Category
11/10/2024,STARBUCKS PURCHASE,testerFirstName testerLastName,-71002,5.45,Dining
11/15/2024,NETFLIX SUBSCRIPTION,testerFirstName testerLastName,-71002,15.99,Subscription
11/20/2024,AMAZON.COM PURCHASE,testerFirstName testerLastName,-71002,45.67,Online Shopping
12/08/2024,WHOLE FOODS MARKET,testerFirstName testerLastName,-71002,67.89,Groceries
12/12/2024,SPOTIFY SUBSCRIPTION,testerFirstName testerLastName,-71002,9.99,Subscription
12/15/2024,APPLE.COM PURCHASE,testerFirstName testerLastName,-71002,299.99,Online Shopping
01/29/2025,AMAZON MARKEPLACE NA PA,testerFirstName testerLastName,-71002,33.88,Online Shopping
01/30/2025,AplPay STOP & SHOP  NATICK,testerFirstName testerLastName,-71002,5.09,Groceries
01/31/2025,AplPay PET SUPPLIES LIVONIA,testerFirstName testerLastName,-71002,42.48,Pet Supplies
02/02/2025,PAYPAL *CARDCASH 8002274214,testerFirstName testerLastName,-71002,22.70,Financial Transaction
02/02/2025,"TESLA, INC. SUBSCRIPPALO ALTO",testerFirstName testerLastName,-71002,105.19,Subscription
02/03/2025,AplPay AMC,testerFirstName testerLastName,-71002,10.36,Entertainment
02/07/2025,AplPay TERRA BRASILIFRAMINGHAM,testerFirstName testerLastName,-71002,36.17,Dining
02/08/2025,SICHUAN GOURMET,testerFirstName testerLastName,-71002,55.59,Dining
02/09/2025,GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#,testerFirstName testerLastName,-71002,22.99,Subscription
02/10/2025,DISNEYPLUS,testerFirstName testerLastName,-71002,16.99,Subscription
02/10/2025,Platinum Digital Entertainment Credit,testerFirstName testerLastName,-71002,-16.99,Refund/Adjustment
02/12/2025,AplPay JARED DIAMONDAKRON,testerFirstName testerLastName,-71002,610.94,Retail
02/13/2025,JARED.COM #2001,testerFirstName testerLastName,-71002,-100.00,Retail
02/13/2025,UBER EATS,testerFirstName testerLastName,-71002,3.70,Dining
02/14/2025,AplPay KFC,testerFirstName testerLastName,-71002,29.95,Dining
02/15/2025,AplPay SP SINGER,testerFirstName testerLastName,-71002,-423.94,Dining
02/15/2025,AplPay TRADER JOE S FRAMINGHAM,testerFirstName testerLastName,-71002,80.43,Groceries
02/15/2025,AplPay WHOLE FOODS MFRAMINGHAM,testerFirstName testerLastName,-71002,114.31,Groceries
02/15/2025,PAYPAL *CARDCASH,testerFirstName testerLastName,-71002,23.00,Financial Transaction
02/16/2025,Amazon Prime,testerFirstName testerLastName,-71002,139.00,Subscription
02/16/2025,AplPay AMC,testerFirstName testerLastName,-71002,14.36,Entertainment
02/16/2025,HELIUM MOBILE,testerFirstName testerLastName,-71002,21.77,Telecommunications
02/17/2025,HELIUM MOBILE,testerFirstName testerLastName,-71002,-21.77,Telecommunications
02/17/2025,THE HOME DEPOT,testerFirstName testerLastName,-71002,41.34,Home Improvement
02/20/2025,AUTOPAY PAYMENT - THANK YOU,testerFirstName testerLastName,-71002,-2566.99,Payment
02/22/2025,AplPay STOP & SHOP  NATICK,testerFirstName testerLastName,-71002,2.89,Groceries
02/23/2025,AMAZON MARKEPLACE NA PA,testerFirstName testerLastName,-71002,84.99,Online Shopping
02/23/2025,AMAZON MARKEPLACE NA PA,testerFirstName testerLastName,-71002,127.49,Online Shopping
02/23/2025,AMAZON.COM AMZN.COM/BILL,testerFirstName testerLastName,-71002,53.10,Online Shopping
02/24/2025,AplPay HEYTEA-US- ALALLSTON,testerFirstName testerLastName,-71002,14.08,Dining
02/24/2025,OPENAI *CHATGPT SUBSSAN FRANCISCO,testerFirstName testerLastName,-71002,20.00,Subscription
02/24/2025,XIN MULAN LLC 00-080WALTHAM,testerFirstName testerLastName,-71002,82.12,Dining
02/26/2025,WALMART.COM W+ AMEX BENTONVILLE,testerFirstName testerLastName,-71002,12.95,Retail
